BPF Opcode Execution Sequence
Step  76: 0xBF (MOV_REG64)
Step  77: 0xBF (MOV_REG64)
Step  78: 0x15 (UNKNOWN_15)
Step  79: 0x15 (UNKNOWN_15)
Step  80: 0x79 (UNKNOWN_79)
Step  81: 0x79 (UNKNOWN_79)
Step  82: 0x15 (UNKNOWN_15)
Step  83: 0x15 (UNKNOWN_15)
Step  84: 0x79 (UNKNOWN_79)
Step  85: 0x79 (UNKNOWN_79)
Step  86: 0x55 (UNKNOWN_55)
Step  87: 0x55 (UNKNOWN_55)
Step  88: 0x15 (UNKNOWN_15)
Step  89: 0x15 (UNKNOWN_15)
Step  90: 0xBF (MOV_REG64)
Step  91: 0xBF (MOV_REG64)
Step  92: 0xBF (MOV_REG64)
Step  93: 0xBF (MOV_REG64)
Step  94: 0x85 (UNKNOWN_85)
Step  95: 0x85 (UNKNOWN_85)
Step  96: 0x15 (UNKNOWN_15)
Step  97: 0x15 (UNKNOWN_15)
Step  98: 0x05 (BRANCH_EQ)
Step  99: 0x05 (BRANCH_EQ)
Step 100: 0xB7 (MOV_IMM64)
Step 101: 0x7B (UNKNOWN_7B)
Step 102: 0x05 (BRANCH_EQ)
Step 103: 0x05 (BRANCH_EQ)
Step 104: 0x79 (UNKNOWN_79)
Step 105: 0x79 (UNKNOWN_79)
Step 106: 0xBF (MOV_REG64)
Step 107: 0xBF (MOV_REG64)
Step 108: 0xBF (MOV_REG64)
Step 109: 0xBF (MOV_REG64)
Step 110: 0x85 (UNKNOWN_85)
Step 111: 0x85 (UNKNOWN_85)
Step 112: 0x15 (UNKNOWN_15)
Step 113: 0x15 (UNKNOWN_15)
Step 114: 0x05 (BRANCH_EQ)
Step 115: 0x05 (BRANCH_EQ)
Step 116: 0x15 (UNKNOWN_15)
Step 117: 0x15 (UNKNOWN_15)
Step 118: 0xBF (MOV_REG64)
Step 119: 0xBF (MOV_REG64)
Step 120: 0xBF (MOV_REG64)
Step 121: 0xBF (MOV_REG64)
Step 122: 0x85 (UNKNOWN_85)
Step 123: 0x85 (UNKNOWN_85)
Step 124: 0x15 (UNKNOWN_15)
Step 125: 0x15 (UNKNOWN_15)
Step 126: 0x05 (BRANCH_EQ)
Step 127: 0x05 (BRANCH_EQ)
Step 128: 0x7B (UNKNOWN_7B)
Step 129: 0x7B (UNKNOWN_7B)
Step 130: 0x7B (UNKNOWN_7B)
Step 131: 0x7B (UNKNOWN_7B)
Step 132: 0xB7 (MOV_IMM64)
Step 133: 0x05 (BRANCH_EQ)
Step 134: 0xB7 (MOV_IMM64)
Step 135: 0xBF (MOV_REG64)
Step 136: 0x7B (UNKNOWN_7B)
Step 137: 0x7B (UNKNOWN_7B)
Step 138: 0x7B (UNKNOWN_7B)
Step 139: 0x7B (UNKNOWN_7B)
Step 140: 0xB7 (MOV_IMM64)
Step 141: 0x7B (UNKNOWN_7B)
Step 142: 0x95 (UNKNOWN_95)
